SAMPLE_ID	mutations
aml_ohsu_2022_2383_BA2133	WXS
aml_ohsu_2022_2383_BA2473	WXS
aml_ohsu_2022_2383_BA2222	WXS
aml_ohsu_2022_2465_BA2866	WXS
aml_ohsu_2022_2035_BA2212	WXS
aml_ohsu_2022_2219_BA2477	WXS
aml_ohsu_2022_2219_BA2244	WXS
aml_ohsu_2022_2219_BA3089	WXS
aml_ohsu_2022_2526_BA2190	WXS
aml_ohsu_2022_2266_BA2685	WXS
aml_ohsu_2022_2266_BA2875	WXS
aml_ohsu_2022_2544_BA2273	WXS
aml_ohsu_2022_2544_BA2490	WXS
aml_ohsu_2022_2057_BA2659	WXS
aml_ohsu_2022_2310_BA2124	WXS
aml_ohsu_2022_2276_BA2369	WXS
aml_ohsu_2022_2534_BA2586	WXS
aml_ohsu_2022_2426_BA2400	WXS
aml_ohsu_2022_2061_BA2762	WXS
aml_ohsu_2022_2537_BA2312	WXS
aml_ohsu_2022_2206_BA2813	WXS
aml_ohsu_2022_2471_BA2211	WXS
aml_ohsu_2022_2321_BA2171	WXS
aml_ohsu_2022_2522_BA2746	WXS
aml_ohsu_2022_2522_BA3075	WXS
aml_ohsu_2022_2395_BA2798	WXS
aml_ohsu_2022_2395_BA2883	WXS
aml_ohsu_2022_2395_BA3342	WXS
aml_ohsu_2022_2515_BA2288	WXS
aml_ohsu_2022_2146_BA2801	WXS
aml_ohsu_2022_2691_BA3407	WXS
aml_ohsu_2022_2046_BA3030	WXS
aml_ohsu_2022_2441_BA2588	WXS
aml_ohsu_2022_2497_BA2296	WXS
aml_ohsu_2022_2037_BA2300	WXS
aml_ohsu_2022_2161_BA2903	WXS
aml_ohsu_2022_2430_BA2652	WXS
aml_ohsu_2022_2488_BA2545	WXS
aml_ohsu_2022_2311_BA2945	WXS
aml_ohsu_2022_2311_BA2529	WXS
aml_ohsu_2022_2468_BA2840	WXS
aml_ohsu_2022_2171_BA2790	WXS
aml_ohsu_2022_2531_BA2528	WXS
aml_ohsu_2022_2535_BA2646	WXS
aml_ohsu_2022_2591_BA3067	WXS
aml_ohsu_2022_2591_BA3068	WXS
aml_ohsu_2022_2181_BA2240	WXS
aml_ohsu_2022_2181_BA2613	WXS
aml_ohsu_2022_2185_BA2926	WXS
aml_ohsu_2022_2052_BA2272	WXS
aml_ohsu_2022_2085_BA2842	WXS
aml_ohsu_2022_2085_BA2855	WXS
aml_ohsu_2022_2085_BA2040	WXS
aml_ohsu_2022_2592_BA3070	WXS
aml_ohsu_2022_2592_BA3071	WXS
aml_ohsu_2022_2592_BA3072	WXS
aml_ohsu_2022_2550_BA2765	WXS
aml_ohsu_2022_2450_BA2904	WXS
aml_ohsu_2022_2527_BA2365	WXS
aml_ohsu_2022_2309_BA2726	WXS
aml_ohsu_2022_2309_BA3076	WXS
aml_ohsu_2022_2309_BA3077	WXS
aml_ohsu_2022_2247_BA2234	WXS
aml_ohsu_2022_2318_BA2022	WXS
aml_ohsu_2022_2572_BA2228	WXS
aml_ohsu_2022_2182_BA2037	WXS
aml_ohsu_2022_2320_BA2184	WXS
aml_ohsu_2022_2040_BA2295	WXS
aml_ohsu_2022_2213_BA3009	WXS
aml_ohsu_2022_2355_BA2891	WXS
aml_ohsu_2022_2549_BA2442	WXS
aml_ohsu_2022_2463_BA2882	WXS
aml_ohsu_2022_2553_BA2656	WXS
aml_ohsu_2022_2078_BA2838	WXS
aml_ohsu_2022_2078_BA2319	WXS
aml_ohsu_2022_2277_BA2385	WXS
aml_ohsu_2022_2100_BA2705	WXS
aml_ohsu_2022_2440_BA2347	WXS
aml_ohsu_2022_2440_BA2379	WXS
aml_ohsu_2022_2440_BA2180	WXS
aml_ohsu_2022_2462_BA2967	WXS
aml_ohsu_2022_2208_BA2752	WXS
aml_ohsu_2022_2062_BA2078	WXS
aml_ohsu_2022_2519_BA2663	WXS
aml_ohsu_2022_2264_BA2397	WXS
aml_ohsu_2022_2367_BA2570	WXS
aml_ohsu_2022_2209_BA2764	WXS
aml_ohsu_2022_2363_BA2209	WXS
aml_ohsu_2022_2332_BA2989	WXS
aml_ohsu_2022_2296_BA2605	WXS
aml_ohsu_2022_2528_BA2261	WXS
aml_ohsu_2022_2556_BA2721	WXS
aml_ohsu_2022_2556_BA2401	WXS
aml_ohsu_2022_2094_BA2728	WXS
aml_ohsu_2022_2192_BA2715	WXS
aml_ohsu_2022_2192_BA2116	WXS
aml_ohsu_2022_2530_BA2469	WXS
aml_ohsu_2022_2033_BA2269	WXS
aml_ohsu_2022_2414_BA2098	WXS
aml_ohsu_2022_2414_BA2090	WXS
aml_ohsu_2022_2228_BA2951	WXS
aml_ohsu_2022_2083_BA2778	WXS
